Attacking,Defending,Goalkeeping,Age,international_reputation,Mentality,Movement,Overall,potential,Power,Skill,skill_moves,Value(EUR),wage_eur,Club,league,pc1,pc2,cluster
53.13414634146341,49.71341463414634,18.115853658536587,24.371951219512194,1.3048780487804879,53.896341463414636,65.11585365853658,71.17682926829268,76.54878048780488,61.426829268292686,54.27439024390244,2.4146341463414633,4310396.341463415,17335.365853658535,1. FC Köln,Bundesliga,0.0653245678328256,-0.19430548035850403,2
50.43452380952381,45.404761904761905,16.30952380952381,24.547619047619047,1.125,50.214285714285715,64.47619047619048,67.71428571428571,73.0297619047619,60.86309523809524,52.19642857142857,2.4107142857142856,1488363.0952380951,7220.238095238095,1. FC Nürnberg,Bundesliga,-0.4808775877428161,0.12458961267867044,1
51.38235294117647,45.15882352941176,16.21764705882353,25.129411764705882,1.0705882352941176,51.06470588235294,64.31764705882352,67.08823529411765,71.82352941176471,61.0,52.89411764705882,2.3411764705882354,1298852.9411764706,10341.176470588236,1. FC Union Berlin,Bundesliga,-0.5042044357329047,0.036569381530268286,1
54.069148936170215,48.462765957446805,17.04787234042553,23.867021276595743,1.1648936170212767,54.23936170212766,67.20744680851064,70.78191489361703,76.81914893617021,61.930851063829785,56.287234042553195,2.425531914893617,3533404.255319149,15611.702127659575,1. FSV Mainz 05,Bundesliga,0.11120989007559698,0.09178396419371092,2
54.72631578947368,48.67894736842105,17.4,23.33157894736842,1.5736842105263158,54.62105263157895,66.1842105263158,72.57368421052631,79.93157894736842,61.86842105263158,56.83684210526316,2.542105263157895,6621000.0,27810.526315789473,AS Monaco,Ligue 1,0.4062695295665048,0.13133694478695906,2
48.453416149068325,45.91304347826087,15.801242236024844,25.099378881987576,1.1055900621118013,48.993788819875775,63.149068322981364,65.43478260869566,70.67701863354037,57.68944099378882,49.2360248447205,2.1677018633540373,757608.695652174,3149.0683229813662,AS Nancy Lorraine,Ligue 1,-0.9123276136084502,0.08457073370745571,1
55.62222222222222,52.3,16.444444444444443,24.622222222222224,1.3611111111111112,55.61666666666667,65.18888888888888,70.65,75.7611111111111,63.01111111111111,56.93333333333333,2.4,3748805.5555555555,16572.222222222223,AS Saint-Étienne,Ligue 1,0.19933978243771172,-0.034395512199707746,2
51.48360655737705,45.18852459016394,15.762295081967213,25.098360655737704,1.0819672131147542,51.32786885245902,62.83606557377049,66.65573770491804,71.47540983606558,59.71311475409836,53.967213114754095,2.4344262295081966,2269959.0163934426,8754.098360655738,Amiens SC,Ligue 1,-0.524333660441442,0.0894632370705563,1
52.022346368715084,47.1731843575419,15.938547486033519,25.675977653631286,1.100558659217877,51.93854748603352,62.26815642458101,67.90502793296089,71.59776536312849,59.93854748603352,53.24022346368715,2.3016759776536313,2110977.653631285,9178.77094972067,Angers SCO,Ligue 1,-0.5079056517180692,-0.09005819137251933,1
57.16243654822335,51.93908629441624,16.0253807106599,24.31979695431472,2.050761421319797,58.5736040609137,68.69543147208122,75.06598984771574,81.09137055837563,63.22842639593909,59.54822335025381,2.7055837563451774,11626725.888324874,62162.43654822335,Arsenal,Premier League,1.0403078891693147,0.2629900859791478,0
53.369565217391305,47.61413043478261,17.0,25.065217391304348,1.315217391304348,55.108695652173914,65.0,70.18478260869566,75.32608695652173,62.03804347826087,55.130434782608695,2.505434782608696,2918695.652173913,19304.347826086956,Aston Villa,Premier League,0.03377232987121337,-0.09467723797095091,2
53.81927710843374,52.92168674698795,15.765060240963855,26.03012048192771,1.3795180722891567,54.86144578313253,64.06626506024097,71.71686746987952,76.20481927710843,62.897590361445786,55.397590361445786,2.3855421686746987,4479849.397590362,20993.975903614457,Atalanta,Serie A,0.11669569948668428,-0.1460447178788924,2
56.972527472527474,54.96153846153846,17.318681318681318,25.296703296703296,1.3626373626373627,58.065934065934066,65.2967032967033,74.13186813186813,78.6923076923077,64.97802197802197,59.45054945054945,2.510989010989011,6745494.505494505,26093.406593406595,Athletic Club de Bilbao,La Liga,0.6581803454419869,-0.3061007865056145,0
57.48066298342541,52.32596685082873,16.861878453038674,24.53038674033149,1.9060773480662982,57.171270718232044,68.26519337016575,75.88950276243094,81.58563535911603,64.43646408839778,59.33701657458563,2.6353591160220993,14378453.038674032,47049.723756906074,Atlético Madrid,La Liga,1.036728832553013,0.07369460431737408,0
55.9496855345912,50.735849056603776,17.90566037735849,24.08805031446541,1.6477987421383649,56.289308176100626,68.062893081761,74.75471698113208,80.24528301886792,64.1006289308176,57.509433962264154,2.591194968553459,9343176.100628931,40320.75471698113,Bayer 04 Leverkusen,Bundesliga,0.7576651062151639,-0.035414697718857704,0
49.07843137254902,45.21568627450981,16.61764705882353,26.352941176470587,1.0686274509803921,48.872549019607845,63.96078431372549,67.37254901960785,71.15686274509804,58.1764705882353,51.01960784313726,2.264705882352941,1627500.0,7823.529411764706,Benevento,Serie A,-0.7334985115699532,-0.18397737058967914,1
51.18994413407821,49.92178770949721,16.318435754189945,25.41340782122905,1.2849162011173185,52.56983240223464,64.70391061452514,70.52513966480447,75.44134078212291,61.625698324022345,54.81005586592179,2.3910614525139664,3357122.905027933,18346.368715083798,Bologna,Serie A,-0.10948272612308654,-0.06665188078331187,2
57.614583333333336,52.75,16.729166666666668,23.958333333333332,1.953125,56.635416666666664,69.67708333333333,74.88541666666667,81.02083333333333,63.447916666666664,59.723958333333336,2.6770833333333335,11107786.458333334,47015.625,Borussia Dortmund,Bundesliga,1.0016074486866722,0.2096116009076231,0
